"Tab","Shift","T","t","h","i"," ","s","j","u","a","e","o","w","l","r","n","d","Backspace","I","c","g","m","f","b","y","k","p"
105,250,99,102,60,68,68,118,67,99,960,33,84,121,101,119,87,92,70,84,66,115,100,86,101,67,88,100
,169,,101,95,84,84,83,,68,3833,101,84,137,85,87,86,117,67,,138,85,85,81,100,,73,
,,,112,85,73,98,108,,46,546,101,87,136,69,110,89,117,60,,,,102,,85,,,
,,,88,97,61,66,103,,66,984,129,88,88,59,120,78,116,47,,,,,,,,,
,,,100,102,89,101,142,,,347,83,85,,69,140,82,84,65,,,,,,,,,
,,,104,61,91,118,100,,,1820,101,68,,84,,85,,88,,,,,,,,,
,,,46,85,101,86,100,,,1504,99,114,,38,,64,,85,,,,,,,,,
,,,101,97,69,86,91,,,115,86,57,,,,71,,85,,,,,,,,,
,,,95,86,67,116,100,,,5466,87,55,,,,84,,,,,,,,,,,
,,,99,,83,68,62,,,3066,64,68,,,,,,,,,,,,,,,
,,,79,,84,79,109,,,5635,85,86,,,,,,,,,,,,,,,
,,,101,,100,81,68,,,2915,84,,,,,,,,,,,,,,,,
,,,101,,,103,88,,,,69,,,,,,,,,,,,,,,,
,,,76,,,84,109,,,,118,,,,,,,,,,,,,,,,
,,,69,,,101,,,,,100,,,,,,,,,,,,,,,,
,,,102,,,74,,,,,67,,,,,,,,,,,,,,,,
,,,,,,99,,,,,119,,,,,,,,,,,,,,,,
,,,,,,83,,,,,,,,,,,,,,,,,,,,,
,,,,,,69,,,,,,,,,,,,,,,,,,,,,
,,,,,,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,102,,,,,,,,,,,,,,,,,,,,,
,,,,,,70,,,,,,,,,,,,,,,,,,,,,
,,,,,,93,,,,,,,,,,,,,,,,,,,,,
,,,,,,116,,,,,,,,,,,,,,,,,,,,,
,,,,,,84,,,,,,,,,,,,,,,,,,,,,
,,,,,,83,,,,,,,,,,,,,,,,,,,,,
,,,,,,71,,,,,,,,,,,,,,,,,,,,,
,,,,,,69,,,,,,,,,,,,,,,,,,,,,
,,,,,,84,,,,,,,,,,,,,,,,,,,,,
,,,,,,74,,,,,,,,,,,,,,,,,,,,,
,,,,,,57,,,,,,,,,,,,,,,,,,,,,
,,,,,,80,,,,,,,,,,,,,,,,,,,,,
,,,,,,82,,,,,,,,,,,,,,,,,,,,,
,,,,,,93,,,,,,,,,,,,,,,,,,,,,
,,,,,,73,,,,,,,,,,,,,,,,,,,,,
,,,,,,87,,,,,,,,,,,,,,,,,,,,,
,,,,,,83,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,88,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,91,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,