"Tab","a","k","s","l","j","d","f","t","h","i"," ","o","w",";","e","g","n","v","u","q"
100,61,41,74,62,19,50,137,107,142,14,134,93,139,206,83,75,71,74,59,47
,38,81,80,62,30,88,118,,101,50,130,103,111,56,75,,84,68,40,65
,35,47,96,46,63,34,115,,62,128,83,,90,112,26,,55,,20,103
,71,51,105,66,85,51,91,,3160,54,,,92,,19,,102,,69,
,90,32,94,62,57,71,84,,4887,69,,,57,,35,,57,,46,
,101,37,39,92,46,42,95,,,34,,,67,,40,,77,,40,
,123,44,42,125,61,67,116,,,23,,,131,,,,68,,50,
,90,73,18,58,50,69,110,,,100,,,,,,,54,,48,
,134,48,93,46,46,13,125,,,,,,,,,,81,,65,
,69,123,76,,51,53,120,,,,,,,,,,62,,,
,212,129,14,,45,24,111,,,,,,,,,,77,,,
,146,85,49,,33,20,100,,,,,,,,,,39,,,
,,51,13,,54,73,133,,,,,,,,,,59,,,
,,40,81,,67,58,579,,,,,,,,,,68,,,
,,36,15,,36,73,153,,,,,,,,,,,,,
,,88,92,,84,44,601,,,,,,,,,,,,,
,,,86,,113,75,203,,,,,,,,,,,,,
,,,82,,69,68,178,,,,,,,,,,,,,
,,,119,,72,27,181,,,,,,,,,,,,,
,,,77,,66,166,320,,,,,,,,,,,,,
,,,183,,,78,166,,,,,,,,,,,,,
,,,,,,59,194,,,,,,,,,,,,,
,,,,,,30,182,,,,,,,,,,,,,
,,,,,,114,198,,,,,,,,,,,,,
,,,,,,,199,,,,,,,,,,,,,
,,,,,,,186,,,,,,,,,,,,,
,,,,,,,187,,,,,,,,,,,,,
,,,,,,,194,,,,,,,,,,,,,
,,,,,,,237,,,,,,,,,,,,,
,,,,,,,151,,,,,,,,,,,,,
,,,,,,,1292,,,,,,,,,,,,,