"Taba","ak","ks","sl","lj","jd","dl","lk","kj","jf","fs","sd","dt","th","hi","is","s "," a","ao","os","dk","kf","fa","as","f "," d","fw","wk","k "," f","fk","kd","dj","lf","ss","ld","df","a;",";s","fj","ja","kl","fl","k;",";d","jk","la","dd","f;",";a","si","iw","we","eg","gh","he","ef","fn","nd","dn","nv","vf","dv","vn","nu","ui","in","nj","jn","uf","wn","ne","eu","nq","qw","un","nf","wq","qe","wi","iu","iq","uo","on","fi","id","ds","sn","sa","aj","ad","dh","hj","fh","ha"
533,104,194,82,116,134,142,48,122,1316,98,110,525,5026,163,234,150,314,191,149,142,180,87,98,150,266,178,147,333,187,223,79,195,335,114,103,328,135,25,94,154,74,110,68,120,116,121,89,238,128,153,129,77,155,3235,115,206,75,202,142,83,592,124,55,138,53,141,181,154,163,69,31,116,113,113,136,150,81,98,93,36,59,104,101,68,106,52,86,86,220,70,124,41,159,77
,,,109,113,87,142,55,201,232,144,157,,,,,,,,,180,254,166,56,,,76,,,,69,140,90,,76,36,,,,66,,,78,,,123,,,,,,,49,,,,,118,,,,,,,149,80,133,,,147,,,91,,,143,175,,94,150,,,,,20,,,,59,,50,125,88,,
,,,,,63,88,58,107,216,109,135,,,,,,,,,169,220,141,41,,,111,,,,159,93,85,,109,,,,,142,,,106,,,63,,,,,,,,,,,,93,,,,,,,184,,150,,,159,,,86,,,,202,,,,,,,,,,,,65,,,,,,
,,,,,,,,99,218,118,118,,,,,,,,,116,233,,120,,,118,,,,,,135,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,122,,,51,,,,186,,,,,,,,,,,,,,,,,,
,,,,,,,,,257,132,99,,,,,,,,,85,104,,39,,,149,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,
,,,,,,,,,396,118,97,,,,,,,,,,,,96,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,197,,49,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,250,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,671,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,